Data,Price
2017-12-04,144.98
2017-12-05,145.33
2017-12-06,144.33
2017-12-07,144.86
2017-12-08,144.14
2017-12-11,143.98
2017-12-12,142.89
2017-12-13,142.47
2017-12-14,143.34
2017-12-15,143.65
2017-12-18,144.36
2017-12-19,144.85
2017-12-20,144.18
2017-12-21,144.18
2017-12-22,143.81
2017-12-27,144.3
2017-12-28,145.0
2017-12-29,145.48
2018-01-02,145.1
2018-01-03,145.72
2018-01-04,146.36
2018-01-05,145.68
2018-01-08,146.06
2018-01-09,147.42
2018-01-10,147.49
2018-01-11,148.5
2018-01-12,148.68
2018-01-15,146.61
2018-01-16,146.45
2018-01-17,146.61
2018-01-18,146.46
2018-01-19,146.08
2018-01-22,145.9
2018-01-23,145.81
2018-01-24,146.12
2018-01-25,146.88
2018-01-26,145.39
2018-01-29,144.88
2018-01-30,144.21
2018-01-31,144.6
2018-02-01,144.1
2018-02-02,143.82
"₍₍ ᕕ(´◓⌓◔)ᕗ⁾⁾ Buy1 !    
(*´∀`*) Important : this is not an advice on how to invers your gold"
Average 145.26333333333335
