Data,Price
2017-01-02,155.76
2017-01-03,156.93
2017-01-04,156.44
2017-01-05,157.34
2017-01-09,157.63
2017-01-10,157.59
2017-01-11,157.82
2017-01-12,157.11
2017-01-13,159.23
2017-01-16,157.23
2017-01-17,159.96
2017-01-18,160.27
2017-01-19,159.64
2017-01-20,157.7
2017-01-23,158.28
2017-01-24,158.92
2017-01-25,159.25
2017-01-26,155.93
2017-01-27,155.26
2017-01-30,154.63
2017-01-31,155.21
2017-02-01,157.7
2017-02-02,155.07
2017-02-03,156.51
2017-02-06,156.33
2017-02-07,157.33
2017-02-08,159.43
2017-02-09,161.84
2017-02-10,160.36
2017-02-13,159.68
2017-02-14,159.15
2017-02-15,160.36
2017-02-16,160.44
2017-02-17,161.82
2017-02-20,162.49
2017-02-21,161.87
2017-02-22,162.34
2017-02-23,162.61
2017-02-24,163.85
2017-02-27,163.99
2017-02-28,164.69
2017-03-01,164.59
2017-03-02,162.53
2017-03-03,162.29
"₍₍ ᕕ(´◓⌓◔)ᕗ⁾⁾ Buy1 !    
(*´∀`*) Important : this is not an advice on how to invers your gold"
Average 159.21363636363637
