Data,Price
2018-01-08,146.06
2018-01-09,147.42
2018-01-10,147.49
2018-01-11,148.5
2018-01-12,148.68
2018-01-15,146.61
2018-01-16,146.45
2018-01-17,146.61
2018-01-18,146.46
2018-01-19,146.08
2018-01-22,145.9
2018-01-23,145.81
2018-01-24,146.12
2018-01-25,146.88
2018-01-26,145.39
2018-01-29,144.88
2018-01-30,144.21
2018-01-31,144.6
2018-02-01,144.1
2018-02-02,143.82
2018-02-05,142.65
2018-02-06,143.11
2018-02-07,143.4
2018-02-08,143.43
2018-02-09,144.29
2018-02-12,144.76
2018-02-13,145.05
2018-02-14,144.52
2018-02-15,145.07
2018-02-16,144.61
2018-02-19,144.2
2018-02-20,144.64
2018-02-21,144.74
2018-02-22,144.16
2018-02-23,145.25
2018-02-26,144.8
2018-02-27,144.9
2018-02-28,144.12
2018-03-01,144.85
2018-03-02,144.47
2018-03-05,145.38
2018-03-06,144.31
2018-03-07,145.28
2018-03-08,144.22
2018-03-09,144.12
2018-03-12,144.92
2018-03-13,144.47
2018-03-14,145.21
2018-03-15,144.9
2018-03-16,144.66
2018-03-19,144.11
2018-03-20,144.92
2018-03-21,144.56
2018-03-22,146.74
2018-03-23,146.41
2018-03-26,148.57
2018-03-27,148.46
2018-03-28,146.3
2018-03-29,145.47
2018-03-30,145.56
2018-04-03,145.3
2018-04-04,146.86
2018-04-05,147.78
2018-04-06,146.43
"|ʘ‿ʘ)╯ Sell !     
(*´∀`*) Important : this is not an advice on how to invers your gold"
Average 145.37546875
